88.5,WPTP,Roanoke Rapids,NC,2013,21-Jun,379,T
88.5,WVDA,Valdosta,GA,2007,26-Jul,792,E
88.5,WWLC,Cross City,FL,2015,3-Jun,854,E
88.5,WXPN,Philadelphia,PA,2005,,24,G
88.7,CBAF-10,New Glasgow,NS,2008,27-Jun,719,E
88.7,CIMX,Windsor,ON,2007,3-Sep,449,T
88.7,KAJT,Ada,OK,2012,19-Jun,1247,E
88.7,KBMQ,Monroe,LA,2015,14-May,1095,E
88.7,KFBN,Fargo,ND,2007,26-Jun,1212,E
88.7,KLNE,Lexington,NE,2007,28-Jun,1296,E
88.7,KLVV,Ponca City,OK,2010,31-May,1230,E
88.7,KRVS,Lafayette,LA,2010,30-Jun,1187,E
88.7,KTCU,Fort Worth,TX,2012,12-Jun,1350,E
88.7,KUHF,Houston,TX,2005,21-Jun,1375,E
88.7,KVCH,Huron,SD,2013,10-May,1232,E
88.7,KWTU,Tulsa,OK,2011,1-Jul,1166,E
88.7,KZLO,Kilgore,TX,2012,4-Jun,1246,E
88.7,WAGP,Beaufort,SC,2013,11-Jul,635,E
88.7,WAYJ,Fort Myers,FL,2010,2-Jul,1047,E
88.7,WAYM,Spring Hill,TN,2014,31-May,712,E
88.7,WBFO,Buffalo,NY,2005,5-Oct,286,T
88.7,WBHW,Loogotee,IN,2012,31-May,671,E
88.7,WBYX,Stroudsburg,PA,2007,26-Aug,71,T
88.7,WFOS,Chesapeake,VA,2007,25-Jul,248,T
88.7,WFRP,Americus,GA,2008,29-May,776,E
88.7,WHPJ,Hibbing,MN,2013,7-Jul,1033,E
88.7,WIAA,Interlochen,MI,2013,26-Jul,627,E
88.7,WKNZ,Harrington,DE,2011,31-May,95,T
88.7,WMVY,Edgartown,MA,2014,24-Jun,237,T
88.7,WMYZ,Clermont,FL,2007,14-Jul,884,E
88.7,WNHU,West Haven,CT,2007,18-Jul,125,T
88.7,WOTB,Pearl River,LA,2014,11-May,1074,E
88.7,WPKM,Montauk,NY,2007,4-Jul,161,T
88.7,WPSC,Wayne,NJ,2007,8-Sep,66,T
88.7,WQPR,Muscle Shoals,AL,2014,31-May,808,E
88.7,WRAE,Raeford,NC,2013,21-Jun,430,T
88.7,WRFW,River Falls,WI,2008,22-Jul,965,E
88.7,WRHU,Hempstead,NY,2005,20-Jun,75,T
88.7,WRSU,New Brunswick,NJ,2005,,30,G
88.7,WRVT,Rutland,VT,2008,16-Jun,259,T
88.7,WRWA,Troy,AL,2008,23-Jun,863,E
88.7,WSIE,Edwardsville,IL,2008,16-Jun,814,E
88.7,WSQA,Hornell,NY,2008,2-Sep,209,T
88.7,WWQK,Oak Ridge,TN,2014,31-May,599,E
88.7,WXPH,Middletown,PA,2008,19-Apr,107,T
88.7,WXXY,Port Republic,NJ,2007,17-Jul,41,T
88.7,WYTF,Indianola,MS,2014,31-May,981,E
88.9,CKMW,Winkler,MB,2013,12-Jul,1294,E
88.9,HIJ32,Santiago,DR,2014,18-Jun,1433,E
88.9,KDMR,Mitchellville,IA,2008,27-Jun,972,E
88.9,KETR,Commerce,TX,2008,22-Jul,1259,E
88.9,KGLV,Manhattan,KS,2008,28-May,1150,E
88.9,KJIA,Spirit Lake,IA,2007,25-Jun,1072,E
88.9,KJLU,Jefferson City,MO,2008,11-Aug,937,E
88.9,KLDN,Lufkin,TX,2008,22-Jun,1266,E
88.9,KMPR,Minot,ND,2008,10-Jul,1419,E
88.9,KNGM,Guymon,OK,2014,11-Jun,1457,E
88.9,KNSR,Collegeville,MN,2007,30-Jun,1064,E
88.9,KPRD,Hays,KS,2012,11-Jun,1276,E
88.9,KRNW,Chillicothe,MO,2007,26-Jun,993,E
88.9,KSEF,Saint Genevieve,MO,2014,6-Jul,861,E
88.9,KSUR,Mart,TX,2007,10-Jul,1392,E
88.9,KYLF,Adrian,MO,2012,7-Jun,1049,E
88.9,KYLV,Oklahoma City,OK,2009,12-Jun,1273,E
88.9,La Mega,Puerto Ordaz,VEN,2018,28-Jul,2300,E
88.9,WBYO,Sellersville,PA,2005,,35,G
88.9,WBZC,Pemberton,NJ,2005,,23,G
88.9,WCVE,Richmond,VA,2007,5-Sep,229,T
88.9,WDNA,Miami,FL,2007,21-Jun,1058,E
88.9,WEAA,Baltimore,MD,2005,,109,G
88.9,WEIU,Charleston,IL,2010,30-Jun,711,E
88.9,WERS,Boston,MA,2007,27-Jul,248,T
88.9,WFRS,Smithtown,NY,2005,,97,T
88.9,WFSU,Tallahassee,FL,2007,26-Jul,830,E
88.9,WJMJ,Hartford,CT,2008,28-Jul,147,T
88.9,WKEU,The Rock,GA,2014,19-Jul,723,E
88.9,WKTO,Edgewater,FL,2015,3-Jun,882,E
88.9,WLSU,La Crosse,WI,2008,27-Jun,887,E
88.9,WMAU,Bude,MS,2007,13-Jul,1077,E
88.9,WMCX,Long Branch,NJ,2007,23-Apr,43,T
88.9,WMDR,Oakland,ME,2013,21-Sep,362,T
88.9,WMFT,Tuscaloosa,AL,2010,10-Jul,837,E
88.9,WMSB,Byhalia,MS,2010,30-May,895,E
88.9,WOJM,Reserve,WI,2008,27-Jun,923,E
88.9,WQCS,Fort Pierce,FL,2007,23-Jul,933,E
88.9,WQRN,Cook,MN,2012,10-Jun,1033,E
88.9,WQSU,Selinsgrove,PA,2007,29-Jun,118,T
88.9,WRPJ,Port Jervis,NY,2005,,91,T
88.9,WSHA,Raleigh,NC,2013,21-Jun,366,T
88.9,WSIA,Staten Island,NY,2005,,49,T
88.9,WUND,Manteo,NC,2007,6-Sep,303,T
88.9,WVEP,Martinsburg,WV,2005,27-Jun,205,T
88.9,WYFE,Tarpon Springs,FL,2007,16-Jun,926,E
89.1,CKSB-9,Fort Frances,ON,2008,4-Aug,1099,E
89.1,KAUR,Sioux Falls,SD,2010,16-Jul,1150,E
89.1,KCLC,St. Charles,MO,2013,5-Jul,842,E
89.1,KFLO,Blanchard,LA,2014,14-May,1194,E
89.1,KHNE,Hastings,NE,2013,29-May,1221,E
89.1,KHOI,Story City,IA,2015,22-Jun,994,E
89.1,KLJN,Jamestown,ND,2015,22-Jun,1292,E
89.1,KMUW,Wichita,KS,2011,1-Jul,1228,E
89.1,KNNZ,Hawley,MN,2014,19-Dec,1179,E
89.1,KNSZ,Ottumwa,IA,2015,18-Jun,932,E
89.1,KRLR,Lake Charles,LA,2015,14-May,1242,E
