107.3,30.08.14,Tropo,CAN,CJDL,Tillsonburg,ON,386,,
103.9,30.08.14,Tropo,CAN,CKDK,Woodstock,ON,386,,
94.7,30.08.14,Tropo,CAN,CHKX,Hamilton/Stoney Creek,ON,348,,
107.7,30.08.14,Tropo,USA,WUUZ r:WUZZ,Cooperstown,PA,288,,
105.5,30.08.14,Tropo,USA,WGOJ,Conneaut,OH,335,,
106.3,30.08.14,Tropo,USA,WCTL,Union City,PA,309,,
102.3,30.08.14,Tropo,USA,WQHZ,Erie,PA,319,,
100.9,30.08.14,Tropo,USA,WRKT,North East,PA,310,,
89.5,30.08.14,Tropo,CAN,CIUT,Toronto/First Canadian Place,ON,356,,
102.7,30.08.14,Tropo,USA,WCGM,Wattsburg,PA,301,,
89.1,30.08.14,Tropo,USA,WCID,Friendship,NY,240,,
93.9,30.08.14,Tropo,USA,WKBI,St. Marys,PA,235,,
94.9,30.08.14,Tropo,CAN,CKGE,Oshawa,ON,353,,
97.3,30.08.14,Tropo,CAN,CHBM,Toronto/CN Tower,ON,356,,
99.9,30.08.14,Tropo,CAN,CKFM,Toronto/CN Tower,ON,356,,
95.9,30.08.14,Tropo,CAN,CJKX,Ajax,ON,361,,
93.1,30.08.14,Tropo,CAN,CHAY,Barrie,ON,402,,
94.9,30.08.14,Tropo,USA,WHOM,Mount Washington,NH,349,,
102.5,30.08.14,Tropo,CAN,CBOX,Ottawa/Camp-Fortune [QC],ON,393,,
90.7,30.08.14,Tropo,CAN,CBOF,Ottawa/Camp-Fortune [QC],ON,393,,
89.1,15.09.14,Tropo,USA,WVTF,Roanoke/Poor Mountain,VA,349,,
94.9,15.09.14,Tropo,USA,WSLC,Roanoke/Poor Mountain,VA,349,,
92.3,15.09.14,Tropo,USA,WXLK,Roanoke/Poor Mountain,VA,349,,
99.1,15.09.14,Tropo,USA,WSLQ,Roanoke/Poor Mountain,VA,349,,
106.5,28.09.14,Tropo,USA,WSFL,New Bern,NC,365,,
102.7,28.09.14,Tropo,USA,WGNI,Wilmington,NC,444,,
105.1,29.09.14,Tropo,USA,WDCG,Apex,NC,366,,
93.9,29.09.14,Tropo,USA,WNCB,Cary,NC,366,,
96.3,29.09.14,Tropo,USA,WRHT,Havelock,NC,374,,
100.3,29.09.14,Tropo,USA,WLGP,Harkers Island,NC,371,,
97.9,29.09.14,Tropo,USA,WNBB,Oriental,NC,357,,
94.9,23.10.14,Es,USA,KOLI,Electra,TX,1395,,
92.9,23.10.14,Es,USA,KNIN,Wichita Falls,TX,1377,,
95.3,23.10.14,Es,USA,KMGZ,Lawton,OK,1355,,
89.1,27.10.14,Es,USA,KHNE,Hastings,NE,1231,,
107.5,05.11.14,Tropo,USA,WFCC,Chatham,MA,275,,
100.5,05.11.14,Tropo,USA,W263CU r:WKFY,Hyannis,MA,258,,
99.1,05.11.14,Tropo,USA,WPLM,Plymouth,MA,252,,
101.9,05.11.14,Tropo,USA,WIKS,Grifton,NC,351,,
96.3,05.11.14,Tropo,USA,WRHT,Havelock,NC,374,,
105.1,12.11.14,Tropo,USA,WDCG,Apex,NC,366,,
107.9,12.11.14,Tropo,USA,WEES-LP,Ocean City,MD,102,,
92.9,25.12.14,Es,USA,KKXL,Grand Forks,ND,1239,,
92.9,25.12.14,Es,USA,KKJM,St. Joseph,MN,1072,,
95.3,27.12.14,Es,USA,WFFN,Tuscaloosa,AL,855,,
88.1,27.12.14,Es,USA,WMAW,Meridian,MS,965,,
94.9,27.12.14,Es,USA,WKOR,Columbus,MS,872,,
98.5,08.05.15,Tropo,USA,WBZ,Boston,MA,245,,
105.1,08.05.15,Tropo,USA,WWLI,Providence,RI,214,,
105.7,08.05.15,Tropo,USA,WROR,Framingham,MA,253,,
94.5,08.05.15,Tropo,USA,WJMN,Boston,MA,245,,
94.9,09.05.15,Tropo,USA,WHOM,Mount Washington,NH,349,,
97.3,09.05.15,Tropo,USA,WZBG,Torrington,CT,155,,
103.7,09.05.15,Tropo,USA,WPKQ r:WOKQ,North Conway,NH,349,,
100.5,09.05.15,Tropo,USA,WXXK,Lebanon,NH,288,,
94.9,09.05.15,Tropo,USA,WSLC,Roanoke/Poor Mountain,VA,349,,
89.3,14.05.15,Es,USA,KAVK,Many,LA,1195,,
92.3,14.05.15,Es,USA,KMYY,Rayville,LA,1086,,
95.9,14.05.15,Es,USA,KMAR,Winnsboro,LA,1089,,
91.3,14.05.15,Es,USA,WFIX,Florence,AL,801,,
91.9,14.05.15,Es,USA,WAUM,Duck Hill,MS,925,,
95.1,14.05.15,Es,USA,WONA,Winona,MS,940,,
88.7,14.05.15,Es,USA,WQPR,Muscle Shoals,AL,807,,
89.5,14.05.15,Es,USA,KYFL,Monroe,LA,1094,,
101.9,14.05.15,Es,USA,KMVX,Monroe,LA,1104,,
89.1,14.05.15,Es,USA,KVDP,Dry Prong,LA,1149,,
94.9,14.05.15,Es,USA,KSBH,Coushatta,LA,1173,,
99.9,14.05.15,Es,USA,KTEZ,Zwolle,LA,1194,,
105.5,14.05.15,Es,USA,WVBG,Redwood,MS,1036,,
88.1,14.05.15,Es,USA,KAYT,Jena,LA,1152,,
93.1,14.05.15,Es,USA,KQID,Alexandria,LA,1133,,
89.9,14.05.15,Es,USA,KLXA,Alexandria,LA,1156,,
103.1,14.05.15,Es,USA,KWLA,Anacoco,LA,1204,,
88.3,14.05.15,Es,USA,KJGM,Bastrop,LA,1072,,
88.7,14.05.15,Es,USA,KBMQ,Monroe,LA,1095,,
97.1,14.05.15,Es,USA,KTHT,Cleveland,TX,1313,,
102.5,14.05.15,Es,USA,WAGR,Lexington,MS,974,,
90.3,14.05.15,Es,USA,KEDM,Monroe,LA,1083,,
91.7,14.05.15,Es,USA,KNWD,Natchitoches,LA,1171,,
98.3,14.05.15,Es,USA,KZRZ,Monroe,LA,1083,,
100.9,14.05.15,Es,USA,KHLL,Richwood,LA,1096,,
92.7,14.05.15,Es,USA,KSBU,Delta,LA,1052,,
103.1,14.05.15,Es,USA,KNNW,Columbia,LA,1109,,
90.3,14.05.15,Es,USA,WBRH,Baton Rouge,LA,1135,,
91.1,14.05.15,Es,USA,KLSU,Baton Rouge,LA,1136,,
91.3,14.05.15,Es,USA,KVLU,Beaumont,TX,1283,,
92.3,14.05.15,Es,USA,KETX,Livingston,TX,1300,,
99.1,14.05.15,Es,USA,KFAH,Pineland,TX,1233,,
92.9,14.05.15,Es,USA,KKBQ,Houston,TX,1375,,
94.7,14.05.15,Es,USA,KVLL,Wells,TX,1280,,
97.9,14.05.15,Es,USA,KQLK,De Ridder,LA,1223,,
102.7,14.05.15,Es,USA,KTXJ,Jasper,TX,1240,,
91.5,14.05.15,Es,USA,WPEF,Kentwood,LA,1074,,
91.5,14.05.15,Es,USA,KGRM,Grambling,LA,1125,,
91.7,14.05.15,Es,USA,WVSD,Itta Bena,MS,971,,
95.5,14.05.15,Es,USA,KAFX,Lufkin,TX,1266,,
95.9,14.05.15,Es,USA,WBBN,Taylorsville,MS,1004,,
95.9,14.05.15,Es,USA,KUUZ,Lake Village,AR,1016,,
99.3,14.05.15,Es,USA,KPCH,Ruston,LA,1123,,
104.1,14.05.15,Es,USA,KJLO,Monroe,LA,1088,,
91.3,14.05.15,Es,USA,WMPN,Jackson,MS,1025,,
92.7,14.05.15,Es,USA,KBDV,Leesville,LA,1200,,
96.3,14.05.15,Es,USA,KZXL,Hudson,TX,1264,,
100.7,14.05.15,Es,USA,KZBL,Natchitoches,LA,1166,,
88.7,14.05.15,Es,USA,KUHF,Houston,TX,1374,,
91.9,14.05.15,Es,USA,KAVX,Lufkin,TX,1262,,
94.7,14.05.15,Es,USA,WJLV,Jackson,MS,1015,,
95.1,14.05.15,Es,USA,WQNZ,Natchez,MS,1100,,
