,Freq,Calls,Date,Prop,Country,City,State,Miles
33,88.1,WNJT,2005-04-11,G,,Trenton,NJ,13.0
32,88.1,WNJS,2005-04-11,G,,Berlin,NJ,27.0
19,88.1,WDIY,2008-07-01,T,,Allentown,PA,46.0
40,88.1,WZZD,2011-07-26,T,,Warwick,PA,57.0
26,88.1,WJPG,2008-07-27,T,,Cape May Courthouse,NJ,69.0
37,88.1,WXBA,2007-09-19,T,,Brentwood,NY,92.0
34,88.1,WNYX,2010-05-27,T,,Montgomery,NY,98.0
35,88.1,WRGN,2012-07-12,T,,Sweet Valley,PA,107.0
38,88.1,WYPR,2007-05-30,T,,Baltimore,MD,113.0
30,88.1,WMNR,2006-08-17,T,,Monroe,CT,116.0
21,88.1,WGWR,2008-06-16,T,,Liberty,NY,117.0
20,88.1,WESU,2012-07-12,T,,Middletown,CT,149.0
24,88.1,WHOV,2008-07-12,T,,Hampton,VA,230.0
31,88.1,WNCH,2013-10-16,T,,Norwich,VT,259.0
27,88.1,WKNC,2010-09-03,T,,Raleigh,NC,366.0
39,88.1,WZIP,2018-06-30,T,,Akron,OH,375.0
16,88.1,WCQA,2018-06-27,E,,Asheville,NC,528.0
1,88.1,CBAL-4,2006-09-18,T,,Saint John,NB,569.0
28,88.1,WLXP,2013-07-03,E,,Savannah,GA,656.0
22,88.1,WHID,2010-06-17,E,,Green Bay,WI,734.0
17,88.1,WCRJ,2012-06-01,E,,Jacksonville,FL,779.0
23,88.1,WHJL,2012-06-07,E,,Merrill,WI,834.0
7,88.1,KDHX,2008-06-27,E,,St. Louis,MO,843.0
6,88.1,KBBG,2014-06-30,E,,Waterloo,IA,923.0
36,88.1,WUWF,2007-06-16,E,,Pensacola,FL,959.0
29,88.1,WMAW,2007-07-14,E,,Meridian,MS,967.0
15,88.1,WAYF,2007-06-21,E,,West Palm Beach,FL,985.0
25,88.1,WJIS,2007-07-26,E,,Bradenton,FL,997.0
14,88.1,KVSC,2007-06-26,E,,St. Cloud,MN,1050.0
4,88.1,K201HD,2008-07-22,E,,Clara City,MN,1087.0
10,88.1,KJTY,2011-07-26,E,,Topeka,NE,1093.0
12,88.1,KMLV,2011-07-09,E,,Ralston,NE,1112.0
9,88.1,KFHC,2010-06-24,E,,Ponca,NE,1141.0
5,88.1,KAYT,2007-07-10,E,,Jena,LA,1153.0
8,88.1,KDIM,2015-06-23,E,,Coweta,OK,1201.0
2,88.1,CKSB-10,2015-06-22,E,,Winnipeg,MB,1303.0
13,88.1,KNTU,2007-07-14,E,,McKinney,TX,1319.0
3,88.1,HIGP,2007-08-11,E,,Santiago,DR,1433.0
18,88.1,WCRP,2019-07-03,E,,Guayama,PR,1588.0
41,88.1,XHRED,2015-06-23,E,,Mexico City,MX,2018.0
4606,88.1,KOIA,2017-07-27,Es,USA,Storm Lake,IA,1070
4493,88.1,KKRI,2017-06-25,Es,USA,Pocola,OK,1119
2569,88.1,KPAQ,2016-06-29,Es,USA,Plaquemine,LA,1148
352,88.1,KLBT,2015-05-14,Es,USA,Beaumont,TX,1302
5381,88.1,KOYA,2018-06-20,Es,USA,Rosebud,SD,1364
5753,88.1,KWOU,2019-06-21,Es,USA,Woodward,OK,1365
356,88.1,HIJ20,2015-06-03,Es,DOM,Loma El Mogote,esp,169X
4855,88.1,WKIV,2018-05-09,Tropo,USA,Westerly,RI,181
5583,88.1,WFHL,2018-09-02,Tropo,USA,New Bedford,MA,233
3988,88.1,WMBR,2016-10-08,Tropo,USA,Cambridge,MA,253
5435,88.1,WDPR,2018-06-27,Es,USA,West Carrollton,OH,509
4679,88.1,WBCJ,2017-07-27,Es,USA,Spencerville,OH,515
5501,88.1,WRJA,2018-07-09,Tropo,USA,Sumter,SC,517
5193,88.1,WRFL,2018-06-20,Es,USA,Lexington,KY,543
4320,88.1,WYCE,2017-06-25,Es,USA,Wyoming,MI,607
4664,88.1,WVPE,2017-07-27,Es,USA,Elkhart,IN,614
1685,88.1,CKDU,2015-10-13,Tropo,CAN,Halifax,NS,651
5954,88.1,WUTC,2015-08-11,Es,USA,Chattanooga,TN,664
2436,88.1,CBAF-15,2016-06-11,Es,CAN,Charlottetown,PE,718
938,88.1,WJSP,2015-06-30,Es,USA,Warm Springs,GA,738
4223,88.1,WJTY,2017-06-13,Es,USA,Lancaster,WI,842
5383,88.1,WWEN,2018-06-20,Es,USA,Wentworth,WI,987
4775,88.1,KDPS,2017-08-15,Es,USA,Des Moines,IA,998
75,88.3,WVBH,2007-03-30,T,,Beach Haven West,NJ,38.0
64,88.3,WBGO,2005-04-11,G,,Newark,NJ,54.0
70,88.3,WLKA,2007-08-26,T,,Tafton,PA,107.0
73,88.3,WRAU,2010-04-11,T,,Ocean City,MD,122.0
69,88.3,WLIU,2006-04-11,T,,Southampton,NY,134.0
76,88.3,WZXQ,2007-10-05,T,,Chambersburg,PA,142.0
59,88.3,WAER,2012-06-22,T,,Syracuse,NY,213.0
65,88.3,WGPS,2006-09-09,T,,Elizabeth City,NC,275.0
74,88.3,WRVL,2006-08-18,T,,Lynchburg,VA,318.0
44,88.3,CJIQ,2007-09-18,T,,Paris,ON,363.0
72,88.3,WPPR,2012-06-04,E,,DeMorest,GA,622.0
68,88.3,WJLY,2012-07-20,E,,Ramsey,IL,763.0
60,88.3,WAFR,2012-06-02,E,,Tupelo,MS,858.0
61,88.3,WAPR,2009-06-11,E,,Selma,AL,863.0
62,88.3,WAYP,2008-05-29,E,,Marianna,FL,866.0
71,88.3,WPOZ,2009-07-28,E,,Union Park,FL,872.0
48,88.3,KCCK,2010-06-24,E,,Cedar Rapids,IA,886.0
57,88.3,KYEC,2015-06-21,E,,Doniphan,MO,904.0
43,88.3,CBQT,2007-05-11,E,,Thunder Bay,ON,918.0
66,88.3,WHWC,2012-06-07,E,,Menomonie,WI,930.0
56,88.3,KWND,2007-05-11,E,,Springfield,MO,1003.0
67,88.3,WIRP,2005-05-22,E,,Pennsuco,FL,1037.0
42,88.3,ZNW,2014-05-11,E,,Nassau,BAH,1049.0
47,88.3,KBPN,2010-06-17,E,,Brainerd,MN,1077.0
50,88.3,KJGM,2014-06-09,E,,Bastrop,LA,1084.0
45,88.3,KABF,2008-08-04,E,,Little Rock,AR,1085.0
63,88.3,WAZQ,2007-07-29,E,,Key West,FL,1149.0
55,88.3,KQIQ,2015-06-18,E,,Beatrice,NE,1177.0
49,88.3,KESD,2008-06-27,E,,Brookings,SD,1179.0
53,88.3,KOLB,2012-05-31,E,,Hartington,NE,1192.0
58,88.3,KYFW,2012-05-31,E,,Wichita,KS,1220.0
46,88.3,KAFR,2012-06-04,E,,Conroe,TX,1333.0
52,88.3,KOEG,2015-06-23,E,,Walters,OK,1353.0
51,88.3,KLMP,2011-06-10,E,,Rapid City,SD,1505.0
882,88.3,WRBH,2015-06-30,Es,USA,New Orleans,LA,1102
206,88.3,KPCP,2015-05-14,Es,USA,New Roads,LA,1141
2219,88.3,KRTG,2016-04-28,Es,USA,Carthage,TX,1230
2117,88.3,KTGS,2015-12-31,Es,USA,Tishomingo,OK,1261
5593,88.3,WQHE,2018-10-05,Tropo,USA,Oil City,PA,288
5960,88.3,WCQR,2015-08-11,Es,USA,Kingsport,TN,470
5224,88.3,WAIF,2018-06-20,Es,USA,Cincinnati,OH,525
4291,88.3,WCXK,2017-06-25,Es,USA,Kalamazoo,MI,596
6242,88.3,WAFJ,2015-08-11,Es,USA,Belvedere,SC,597
1862,88.3,WSGP,2015-12-30,Es,USA,Glasgow,KY,633
4230,88.3,WNIN,2017-06-13,Es,USA,Evansville,IN,689
6199,88.3,WLPT,2015-08-11,Es,USA,Jesup,GA,696
1863,88.3,WAYQ,2015-12-30,Es,USA,Pegram,TN,730
4281,88.3,WPJC,2017-06-25,Es,USA,Pontiac,IL,737
2060,88.3,WUTU,2015-12-30,Es,USA,Sasser,GA,785
1744,88.3,WKPK,2015-12-26,Es,USA,Petdskey,MI,799
3379,88.3,WRLJ,2016-07-12,Es,USA,White Hall,IL,836
4675,88.3,KJAB,2017-07-27,Es,USA,Mexico,MO,918
458,88.3,WBIY,2015-06-03,Es,USA,La Belle,FL,989
94,88.5,WXPN,2005-04-11,G,,Philadelphia,PA,24.0
90,88.5,WNJP,2006-08-17,T,,Sussex,NJ,72.0
82,88.5,WEDW,2007-07-18,T,,Stamford,CT,92.0
81,88.5,WAMU,2007-05-23,T,,Washington,DC,147.0
83,88.5,WFCR,2007-07-26,T,,Amherst,MA,198.0
84,88.5,WHRG,2011-07-11,T,,Gloucester Point,VA,203.0
91,88.5,WPTP,2013-06-21,T,,Roanoke Rapids,NC,379.0
92,88.5,WVDA,2007-07-26,E,,Valdosta,GA,792.0
89,88.5,WMNF,2013-07-11,E,,Tampa,FL,950.0
85,88.5,WJCB,2010-05-03,E,,Clewiston,FL,989.0
88,88.5,WMFL,2007-06-21,E,,Florida City,FL,1072.0
78,88.5,KCRB,2007-06-30,E,,Bemidji,MN,1107.0
80,88.5,KNCM,2011-06-10,E,,Appleton,MN,1128.0
79,88.5,KEOM,2012-06-21,E,,Mesquite,TX,1311.0
77,88.5,HIDO,2015-06-15,E,,Santiago,DR,1429.0
266,88.5,WJSU,2015-05-14,Es,USA,Jackson,MS,1011
2560,88.5,WUSM,2016-06-29,Es,USA,Hattiesburg,MS,1015
917,88.5,KLHV,2015-06-30,Es,USA,Cotton Valley,LA,1163
3224,88.5,KZTH,2016-07-12,Es,USA,Piedmont,OK,1314
506,88.5,Comando,2015-06-15,Es,DOM,Santiago de los Caballeros,sto,1429
4841,88.5,WRUR,2018-01-21,Tropo,USA,Rochester,NY,271
5966,88.5,WJIA,2015-08-11,Es,USA,Guntersville,AL,742
464,88.5,WWLC,2015-06-03,Es,USA,Cross City,FL,854
400,88.5,WKPX,2015-06-03,Es,USA,Sunrise,FL,999
129,88.7,WRSU,2005-04-11,G,,New Brunswick,NJ,30.0
136,88.7,WXXY,2007-07-17,T,,Port Republic,NJ,41.0
124,88.7,WPSC,2007-09-08,T,,Wayne,NJ,66.0
113,88.7,WBYX,2007-08-26,T,,Stroudsburg,PA,71.0
128,88.7,WRHU,2005-06-20,T,,Hempstead,NY,75.0
118,88.7,WKNZ,2011-05-31,T,,Harrington,DE,95.0
135,88.7,WXPH,2008-04-19,T,,Middletown,PA,107.0
121,88.7,WNHU,2007-07-18,T,,West Haven,CT,125.0
123,88.7,WPKM,2007-07-04,T,,Montauk,NY,161.0
133,88.7,WSQA,2008-09-02,T,,Hornell,NY,209.0
114,88.7,WFOS,2007-07-25,T,,Chesapeake,VA,248.0
130,88.7,WRVT,2008-06-16,T,,Rutland,VT,259.0
111,88.7,WBFO,2005-10-05,T,,Buffalo,NY,286.0
126,88.7,WRAE,2013-06-21,T,,Raeford,NC,430.0
96,88.7,CIMX,2007-09-03,T,,Windsor,ON,449.0
134,88.7,WWQK,2014-05-31,E,,Oak Ridge,TN,599.0
117,88.7,WIAA,2013-07-26,E,,Interlochen,MI,627.0
108,88.7,WAGP,2013-07-11,E,,Beaufort,SC,635.0
112,88.7,WBHW,2012-05-31,E,,Loogotee,IN,671.0
110,88.7,WAYM,2014-05-31,E,,Spring Hill,TN,712.0
95,88.7,CBAF-10,2008-06-27,E,,New Glasgow,NS,719.0
115,88.7,WFRP,2008-05-29,E,,Americus,GA,776.0
125,88.7,WQPR,2014-05-31,E,,Muscle Shoals,AL,808.0
132,88.7,WSIE,2008-06-16,E,,Edwardsville,IL,814.0
131,88.7,WRWA,2008-06-23,E,,Troy,AL,863.0
120,88.7,WMYZ,2007-07-14,E,,Clermont,FL,884.0
127,88.7,WRFW,2008-07-22,E,,River Falls,WI,965.0
137,88.7,WYTF,2014-05-31,E,,Indianola,MS,981.0
116,88.7,WHPJ,2013-07-07,E,,Hibbing,MN,1033.0
109,88.7,WAYJ,2010-07-02,E,,Fort Myers,FL,1047.0
122,88.7,WOTB,2014-05-11,E,,Pearl River,LA,1074.0
106,88.7,KWTU,2011-07-01,E,,Tulsa,OK,1166.0
102,88.7,KRVS,2010-06-30,E,,Lafayette,LA,1187.0
99,88.7,KFBN,2007-06-26,E,,Fargo,ND,1212.0
101,88.7,KLVV,2010-05-31,E,,Ponca City,OK,1230.0
105,88.7,KVCH,2013-05-10,E,,Huron,SD,1232.0
107,88.7,KZLO,2012-06-04,E,,Kilgore,TX,1246.0
97,88.7,KAJT,2012-06-19,E,,Ada,OK,1247.0
100,88.7,KLNE,2007-06-28,E,,Lexington,NE,1296.0
103,88.7,KTCU,2012-06-12,E,,Fort Worth,TX,1350.0
104,88.7,KUHF,2005-06-21,E,,Houston,TX,1375.0
150,88.7,KBMQ,2015-05-14,Es,USA,Monroe,LA,1095
2319,88.7,KBPU,2016-04-28,Es,USA,De Queen,AR,1156
2236,88.7,KAZI,2016-04-28,Es,USA,Austin,TX,1461
5020,88.7,KPNG,2018-06-19,Es,USA,Chandler,AZ,2110
5091,88.7,WOBO,2018-06-20,Es,USA,Batavia,OH,505
2412,88.7,WLCU,2016-06-09,Es,USA,Campbellsville,KY,602
1809,88.7,WICR,2015-12-30,Es,USA,Indianapolis,IN,611
4278,88.7,WSIS,2017-06-25,Es,USA,Imlay City,MI,629
6217,88.7,WMOC,2015-08-11,Es,USA,Lumber City,GA,708
3484,88.7,WPCD,2016-07-12,Es,USA,Mahomet,IL,720
2541,88.7,WQOH,2016-06-29,Es,USA,Springville,AL,761
3627,88.7,WERN,2016-07-12,Es,USA,Madison,WI,799
1856,88.7,WIGH,2015-12-30,Es,USA,Lexington,TN,812
3452,88.7,KTRM,2016-07-12,Es,USA,Kirksville,MO,946
3518,88.7,KRFH,2016-07-12,Es,USA,Marshalltown,IA,962
2339,88.7,KLUY,2016-04-28,Es,USA,Searcy,AR,988
2434,88.7,CBNC,2016-06-11,Es,CAN,Stephenville,NL,991
157,88.9,WBZC,2005-04-11,G,,Pemberton,NJ,23.0
156,88.9,WBYO,2005-04-11,G,,Sellersville,PA,35.0
170,88.9,WMCX,2007-04-23,T,,Long Branch,NJ,43.0
180,88.9,WSIA,2005-04-11,T,,Staten Island,NY,49.0
178,88.9,WRPJ,2005-04-11,T,,Port Jervis,NY,91.0
163,88.9,WFRS,2005-04-11,T,,Smithtown,NY,97.0
160,88.9,WEAA,2005-04-11,G,,Baltimore,MD,109.0
177,88.9,WQSU,2007-06-29,T,,Selinsgrove,PA,118.0
165,88.9,WJMJ,2008-07-28,T,,Hartford,CT,147.0
182,88.9,WVEP,2005-06-27,T,,Martinsburg,WV,205.0
158,88.9,WCVE,2007-09-05,T,,Richmond,VA,229.0
162,88.9,WERS,2007-07-27,T,,Boston,MA,248.0
181,88.9,WUND,2007-09-06,T,,Manteo,NC,303.0
171,88.9,WMDR,2013-09-21,T,,Oakland,ME,362.0
179,88.9,WSHA,2013-06-21,T,,Raleigh,NC,366.0
161,88.9,WEIU,2010-06-30,E,,Charleston,IL,711.0
166,88.9,WKEU,2014-07-19,E,,The Rock,GA,723.0
164,88.9,WFSU,2007-07-26,E,,Tallahassee,FL,830.0
172,88.9,WMFT,2010-07-10,E,,Tuscaloosa,AL,837.0
151,88.9,KSEF,2014-07-06,E,,Saint Genevieve,MO,861.0
168,88.9,WLSU,2008-06-27,E,,La Crosse,WI,887.0
173,88.9,WMSB,2010-05-30,E,,Byhalia,MS,895.0
174,88.9,WOJM,2008-06-27,E,,Reserve,WI,923.0
183,88.9,WYFE,2007-06-16,E,,Tarpon Springs,FL,926.0
175,88.9,WQCS,2007-07-23,E,,Fort Pierce,FL,933.0
144,88.9,KJLU,2008-08-11,E,,Jefferson City,MO,937.0
140,88.9,KDMR,2008-06-27,E,,Mitchellville,IA,972.0
150,88.9,KRNW,2007-06-26,E,,Chillicothe,MO,993.0
176,88.9,WQRN,2012-06-10,E,,Cook,MN,1033.0
153,88.9,KYLF,2012-06-07,E,,Adrian,MO,1049.0
159,88.9,WDNA,2007-06-21,E,,Miami,FL,1058.0
148,88.9,KNSR,2007-06-30,E,,Collegeville,MN,1064.0
143,88.9,KJIA,2007-06-25,E,,Spirit Lake,IA,1072.0
169,88.9,WMAU,2007-07-13,E,,Bude,MS,1077.0
142,88.9,KGLV,2008-05-28,E,,Manhattan,KS,1150.0
141,88.9,KETR,2008-07-22,E,,Commerce,TX,1259.0
145,88.9,KLDN,2008-06-22,E,,Lufkin,TX,1266.0
154,88.9,KYLV,2009-06-12,E,,Oklahoma City,OK,1273.0
149,88.9,KPRD,2012-06-11,E,,Hays,KS,1276.0
138,88.9,CKMW,2013-07-12,E,,Winkler,MB,1294.0
152,88.9,KSUR,2007-07-10,E,,Mart,TX,1392.0
146,88.9,KMPR,2008-07-10,E,,Minot,ND,1419.0
139,88.9,HIJ32,2014-06-18,E,,Santiago,DR,1433.0
147,88.9,KNGM,2014-06-11,E,,Guymon,OK,1457.0
155,88.9,La Mega,2018-07-28,E,,Puerto Ordaz,VEN,2300.0
956,88.9,KAKV,2015-06-30,Es,USA,El Dorado,AR,1099
5387,88.9,KSJP,2018-06-20,Es,USA,Ipswich,SD,1279
4925,88.9,Disco,2018-06-04,Es,DOM,Santiago de los Caballeros,sto,1429
5009,88.9,Escape,2018-06-18,Es,DOM,Santo Domingo,ncn,1505
5466,88.9,WKVC,2018-07-09,Tropo,USA,North Myrtle Beach,SC,451
3711,88.9,WDBM,2016-07-12,Es,USA,East Lansing,MI,545
5228,88.9,WMWX,2018-06-20,Es,USA,Miamitown,OH,549
5396,88.9,WBLU,2018-06-21,Es,USA,Grand Rapids,MI,606
5029,88.9,WLXJ,2018-06-19,Es,USA,Battle Ground,IN,644
5399,88.9,WHEY,2018-06-21,Es,USA,North Muskegon,MI,646
5967,88.9,WMBW,2015-08-11,Es,USA,Chattanooga,TN,678
5403,88.9,WYMS,2018-06-21,Es,USA,Milwaukee,WI,718
461,88.9,WKTO,2015-06-03,Es,USA,Mims,FL,835
211,89.1,WWFM,2005-04-11,G,,West Windsor,NJ,12.0
212,89.1,WXHL,2007-06-29,T,,Christiana,DE,55.0
210,89.1,WWCJ,2013-06-21,T,,Cape May,NJ,69.0
199,89.1,WFDU,2007-09-08,T,,Teaneck,NJ,74.0
201,89.1,WGMS,2011-08-05,T,,Hagerstown,MD,147.0
197,89.1,WBUH,2014-06-30,T,,Brewster,MA,278.0
205,89.1,WLPR,2010-06-24,E,,Lowell,IN,662.0
200,89.1,WGLT,2015-06-21,E,,Normal,IL,759.0
213,89.1,ZBM,2011-05-29,E,,Hamilton,Bermuda,775.0
203,89.1,WIMB,2015-06-21,E,,Murphysboro,IL,797.0
186,89.1,KCLC,2013-07-05,E,,St. Charles,MO,842.0
193,89.1,KNSZ,2015-06-18,E,,Ottumwa,IA,932.0
189,89.1,KHOI,2015-06-22,E,,Story City,IA,994.0
196,89.1,KWFC,2009-07-06,E,,Springfield,MO,997.0
208,89.1,WSMR,2009-06-22,E,,Sarasota,FL,998.0
202,89.1,WGZS,2013-07-26,E,,Cloquet,MN,1007.0
184,89.1,CKSB-9,2008-08-04,E,,Fort Frances,ON,1099.0
185,89.1,KAUR,2010-07-16,E,,Sioux Falls,SD,1150.0
192,89.1,KNNZ,2014-12-19,E,,Hawley,MN,1179.0
187,89.1,KFLO,2014-05-14,E,,Blanchard,LA,1194.0
188,89.1,KHNE,2013-05-29,E,,Hastings,NE,1221.0
191,89.1,KMUW,2011-07-01,E,,Wichita,KS,1228.0
190,89.1,KLJN,2015-06-22,E,,Jamestown,ND,1292.0
349,89.1,WPAS,2015-05-14,Es,USA,Pascagoula,MS,1007
829,89.1,KUAR,2015-06-30,Es,USA,Little Rock,AR,1037
1018,89.1,WBSN,2015-06-30,Es,USA,New Orleans,LA,1106
141,89.1,KVDP,2015-05-14,Es,USA,Dry Prong,LA,1149
255,89.1,KRLR,2015-05-14,Es,USA,Sulphur,LA,1242
4883,89.1,KSQX,2018-06-03,Es,USA,Springtown,TX,1361
4965,89.1,KSTX,2018-06-15,Es,USA,San Antonio,TX,1534
4816,89.1,WRXV,2017-10-04,Tropo,USA,State College,PA,202
86,89.1,WCID,2014-08-30,Tropo,USA,Friendship,NY,240
4002,89.1,WEVO,2016-10-08,Tropo,USA,Concord,NH,281
96,89.1,WVTF,2014-09-15,Tropo,USA,Roanoke,VA,349
75,89.1,WKSV,2014-08-30,Tropo,USA,Thompson,OH,356
3673,89.1,WEMU,2016-07-12,Es,USA,Ypsilanti,MI,494
5101,89.1,WKCX,2018-06-20,Es,USA,Crittenden,KY,541
4666,89.1,WBOI,2017-07-27,Es,USA,Fort Wayne,IN,558
1041,89.1,WBIB,2015-06-30,Es,USA,Forsyth,GA,698
560,89.1,WVJC,2015-06-21,Es,USA,Mount Carmel,IL,707
1785,89.1,WONC,2015-12-30,Es,USA,Naperville,IL,718
4285,89.1,WNIE,2017-06-25,Es,USA,Freeport,IL,794
2155,89.1,WHAA,2016-01-05,Es,USA,Adams,WI,815
1000,89.1,WLBF,2015-06-30,Es,USA,Montgomery,AL,823
995,89.1,WUFT,2015-06-30,Es,USA,Gainesville,FL,827
4274,89.1,WSSW,2017-06-25,Es,USA,Platteville,WI,839
5200,89.1,KHJM,2018-06-20,Es,USA,Dexter,MO,848
6029,89.1,WLAZ,2015-08-11,Es,USA,Kissimmee,FL,892
1763,89.1,KXGM,2015-12-28,Es,USA,Hiawatha,IA,898
901,89.1,WFSW,2015-06-30,Es,USA,Panama City,FL,912
3644,89.1,KVCS,2016-07-12,Es,USA,Spring Valley,MN,954
230,89.1,WMBU,2015-05-14,Es,USA,Forest,MS,970
254,89.3,WRDV,2005-04-11,G,,Warminster,PA,18.0
237,89.3,WFJS,2011-04-11,G,,Freehold,NJ,35.0
234,89.3,WDDM,2005-04-11,T,,Haslet,NJ,38.0
243,89.3,WJCS,2008-05-10,T,,Allentown,PA,46.0
246,89.3,WNJB,2005-04-11,G,,Bridgeton,NJ,49.0
247,89.3,WNJY,2010-07-25,T,,Netcong,NJ,54.0
244,89.3,WJLP,2008-05-10,T,,Monroe,NY,93.0
250,89.3,WPFW,2005-04-11,T,,Washington,DC,147.0
257,89.3,WSKG,2006-09-12,T,,Binghamton,NY,147.0
259,89.3,WUMD,2012-07-11,T,,North Darmouth,MA,223.0
245,89.3,WMSJ,2013-09-21,T,,Freeport,ME,340.0
258,89.3,WTEB,2007-07-25,T,,New Bern,NC,368.0
240,89.3,WIMV,2015-06-23,E,,Owingsville,KY,502.0
214,89.3,CIJK,2014-07-14,E,,Kentville,NS,633.0
248,89.3,WNKJ,2014-07-01,E,,Hopkinsville,KY,719.0
236,89.3,WECC,2013-07-11,E,,Folkston,GA,743.0
252,89.3,WPNE,2015-06-22,E,,Green Bay,WI,750.0
239,89.3,WGCF,2009-07-06,E,,Paducah,KY,790.0
235,89.3,WDLM,2010-06-24,E,,East Moline,IL,824.0
227,89.3,KTBJ,2012-05-31,E,,Festus,MO,827.0
232,89.3,WALN,2008-05-29,E,,Carrollton,MS,876.0
260,89.3,WYPL,2008-08-04,E,,Memphis,TN,898.0
238,89.3,WFLJ,2013-07-11,E,,Frostproof,FL,948.0
220,89.3,KCMP,2007-06-30,E,,Northfield,MN,982.0
256,89.3,WRMB,2007-06-21,E,,Boynton Beach,FL,988.0
242,89.3,WIRC,2013-07-07,E,,Ely,MN,999.0
233,89.3,WATU,2010-06-30,E,,Port Gibson,MS,1045.0
218,89.3,KAYH,2011-05-05,E,,Fayetteville,AR,1080.0
224,89.3,KRSW,2007-06-25,E,,Worthington,MN,1112.0
255,89.3,WRKF,2008-07-01,E,,Baton Rouge,LA,1141.0
222,89.3,KKLT,2010-07-19,E,,Texarkana,AR,1149.0
230,89.3,KZUM,2015-06-18,E,,Lincoln,NE,1159.0
229,89.3,KXNE,2010-06-17,E,,Norfolk,NE,1174.0
217,89.3,KAVK,2012-06-12,E,,Many,LA,1193.0
221,89.3,KHCP,2014-05-14,E,,Paris,TX,1217.0
228,89.3,KUND,2008-06-09,E,,Grand Forks,ND,1236.0
226,89.3,KSSO,2009-06-12,E,,Norman,OK,1279.0
225,89.3,KSBJ,2013-07-08,E,,Humble,TX,1330.0
223,89.3,KNON,2007-07-14,E,,Dallas,TX,1334.0
219,89.3,KCCU,2012-06-12,E,,Lawton,OK,1339.0
215,89.3,HILA,2007-08-11,E,,Puerto Plata,DR,1424.0
216,89.3,HIZ,2016-07-13,E,,Santo Domingo,DR,1505.0
405,89.3,W207CE,2015-06-03,Es,USA,Key West,FL,1136
2099,89.3,KAZC,2015-12-31,Es,USA,Healdton,OK,1312
357,89.3,HIJ36,2015-06-03,Es,DOM,Imbert,ppl,1408
5359,89.3,KBHE,2018-06-20,Es,USA,Rapid City,SD,1488
62,89.3,WQED,2014-08-30,Tropo,USA,Pittsburgh,PA,283
4265,89.3,WJKN,2017-06-25,Es,USA,Spring Arbor,MI,538
5485,89.3,WSCI,2018-07-09,Tropo,USA,Charleston,SC,555
4232,89.3,WFPL,2017-06-13,Es,USA,Louisville,KY,607
4317,89.3,WGNB,2017-06-25,Es,USA,Zeeland,MI,621
1789,89.3,WUON,2015-12-30,Es,USA,Morris,IL,732
5956,89.3,WLRH,2015-08-11,Es,USA,Huntsville,AL,741
1738,89.3,WSHN,2015-12-26,Es,USA,Munising,MI,799
468,89.3,WNSS,2015-06-03,Es,USA,Palm Coast,FL,804
549,89.3,WIPA,2015-06-18,Es,USA,Pittsfield,IL,849
433,89.3,WPIO,2015-06-03,Es,USA,Titusville,FL,856
295,89.5,WWPJ,2008-09-09,T,,Pen Argyl,PA,58.0
288,89.5,WPKN,2007-05-07,T,,Bridgeport,CT,116.0
293,89.5,WUNY,2012-07-06,T,,Utica,NY,210.0
281,89.5,WHRV,2007-09-06,T,,Norfolk,VA,247.0
277,89.5,WAUA,2008-08-28,T,,Petersburg,WV,247.0
285,89.5,WNCK,2007-09-08,T,,Nantucket,MA,256.0
294,89.5,WVPR,2012-08-27,T,,Windsor,VT,259.0
262,89.5,CIUT,2014-08-30,T,,Toronto,ON,356.0
287,89.5,WOFR,2010-06-24,E,,Schoolcraft,MI,580.0
261,89.5,CBSM,2013-07-07,E,,Sault Ste. Marie,ON,653.0
286,89.5,WNIJ,2011-08-03,E,,DeKalb,IL,750.0
278,89.5,WCLQ,2013-05-04,E,,Wausau,WI,825.0
284,89.5,WMAE,2012-07-24,E,,Booneville,MS,852.0
272,89.5,KOPN,2011-07-12,E,,Columbia,MO,928.0
267,89.5,KHKE,2010-06-24,E,,Cedar Falls,IA,992.0
292,89.5,WSRX,2011-06-20,E,,Naples,FL,1045.0
269,89.5,KITG,2011-06-25,E,,Sarcoxie,MO,1051.0
276,89.5,KYFL,2007-06-25,E,,Monroe,LA,1095.0
263,89.5,CJRL,2008-08-04,E,,Kenora,ON,1164.0
275,89.5,KWGS,2007-06-30,E,,Tulsa,OK,1167.0
265,89.5,KFAA,2012-06-10,E,,Horace,ND,1197.0
266,89.5,KHCD,2008-05-28,E,,Salina,KS,1201.0
268,89.5,KITA,2011-07-24,E,,Iota,LA,1215.0
274,89.5,KVNE,2011-06-25,E,,Tyler,TX,1247.0
270,89.5,KLND,2013-07-26,E,,Little Eagle,SD,1365.0
271,89.5,KMOC,2007-07-26,E,,Wichita Falls,TX,1373.0
273,89.5,KTOT,2014-06-11,E,,Spearman,TX,1448.0
264,89.5,KENW,2012-06-12,E,,Portales,NM,1609.0
2461,89.5,CBYP,2016-06-11,Es,CAN,Portland Creek,NL,1089
2237,89.5,KMFA,2016-04-28,Es,USA,Austin,TX,1458
5968,89.5,WMOT,2015-08-11,Es,USA,Murfreesboro,TN,692
5139,89.5,WKPB,2018-06-20,Es,USA,Henderson,KY,694
2462,89.5,CBHN,2016-06-11,Es,CAN,New Glasgow,NS,723
4321,89.5,WCNP,2017-06-25,Es,USA,Baraboo,WI,810
